2021-06-13 22:00:36 status half-installed libasan5:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:36 status unpacked libasan5:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:36 install liblsan0:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed liblsan0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status unpacked liblsan0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 install libtsan0:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed libtsan0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 status unpacked libtsan0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 install libubsan1:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 status half-installed libubsan1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 status unpacked libubsan1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 install libquadmath0:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 status half-installed libquadmath0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 status unpacked libquadmath0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:37 install libgcc-9-dev:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:37 status half-installed libgcc-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:38 status unpacked libgcc-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:38 install gcc-9:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:38 status half-installed gcc-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:38 status unpacked gcc-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:38 install gcc:amd64 <none> 4:9.3.0-1ubuntu2
2021-06-13 22:00:38 status half-installed gcc:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:39 status unpacked gcc:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:39 install libstdc++-9-dev:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:39 status half-installed libstdc++-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:43 status unpacked libstdc++-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:43 install g++-9:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:43 status half-installed g++-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:43 status unpacked g++-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:43 install g++:amd64 <none> 4:9.3.0-1ubuntu2
2021-06-13 22:00:43 status half-installed g++:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:43 status unpacked g++:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:43 install make:amd64 <none> 4.2.1-1.2
2021-06-13 22:00:43 status half-installed make:amd64 4.2.1-1.2
2021-06-13 22:00:44 status unpacked make:amd64 4.2.1-1.2
2021-06-13 22:00:44 install libdpkg-perl:all <none> 1.19.7ubuntu3
2021-06-13 22:00:44 status half-installed libdpkg-perl:all 1.19.7ubuntu3
2021-06-13 22:00:44 status unpacked libdpkg-perl:all 1.19.7ubuntu3
2021-06-13 22:00:44 install dpkg-dev:all <none> 1.19.7ubuntu3
2021-06-13 22:00:44 status half-installed dpkg-dev:all 1.19.7ubuntu3
2021-06-13 22:00:46 status unpacked dpkg-dev:all 1.19.7ubuntu3
2021-06-13 22:00:46 install build-essential:amd64 <none> 12.8ubuntu1.1
2021-06-13 22:00:46 status half-installed build-essential:amd64 12.8ubuntu1.1
2021-06-13 22:00:46 status unpacked build-essential:amd64 12.8ubuntu1.1
2021-06-13 22:00:46 install bzip2-doc:all <none> 1.0.8-2
2021-06-13 22:00:46 status half-installed bzip2-doc:all 1.0.8-2
2021-06-13 22:00:46 status unpacked bzip2-doc:all 1.0.8-2
2021-06-13 22:00:46 install cmake-data:all <none> 3.16.3-1ubuntu1
2021-06-13 22:00:46 status half-installed cmake-data:all 3.16.3-1ubuntu1
2021-06-13 22:00:53 status unpacked cmake-data:all 3.16.3-1ubuntu1
2021-06-13 22:00:53 install libjsoncpp1:amd64 <none> 1.7.4-3.1ubuntu2
2021-06-13 22:00:53 status half-installed libjsoncpp1:amd64 1.7.4-3.1ubuntu2
2021-06-13 22:00:53 status unpacked libjsoncpp1:amd64 1.7.4-3.1ubuntu2
2021-06-13 22:00:53 install librhash0:amd64 <none> 1.3.9-1
2021-06-13 22:00:53 status half-installed librhash0:amd64 1.3.9-1
2021-06-13 22:00:53 status unpacked librhash0:amd64 1.3.9-1
2021-06-13 22:00:53 install cmake:amd64 <none> 3.16.3-1ubuntu1
2021-06-13 22:00:53 status half-installed cmake:amd64 3.16.3-1ubuntu1
2021-06-13 22:00:54 status unpacked cmake:amd64 3.16.3-1ubuntu1
2021-06-13 22:00:54 install libfakeroot:amd64 <none> 1.24-1
2021-06-13 22:00:54 status half-installed libfakeroot:amd64 1.24-1
2021-06-13 22:00:54 status unpacked libfakeroot:amd64 1.24-1
2021-06-13 22:00:54 install fakeroot:amd64 <none> 1.24-1
2021-06-13 22:00:54 status half-installed fakeroot:amd64 1.24-1
2021-06-13 22:00:54 status unpacked fakeroot:amd64 1.24-1
2021-06-13 22:00:54 install fonts-dejavu-core:all <none> 2.37-1
2021-06-13 22:00:54 status half-installed fonts-dejavu-core:all 2.37-1
2021-06-13 22:00:54 status unpacked fonts-dejavu-core:all 2.37-1
2021-06-13 22:00:54 install fontconfig-config:all <none> 2.13.1-2ubuntu3
