batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4750751	4750751_23153_0_0.cram.crai	4750751_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxJJjJGGVB2P0F3P9JVZB5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxJKjJGGV0zQ6f737bXGqq
4750829	4750829_23153_0_0.cram.crai	4750829_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxq78JFfkbxXGv3jPxx31Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxq88JFfkqX08fG45vK6yv
4750847	4750847_23153_0_0.cram.crai	4750847_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Y00J9V0v4jfV3jbZbFV1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Y0jJ9V0b9V544519jfFG
4750850	4750850_23153_0_0.cram.crai	4750850_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYF0J11QGXqY33k9G3B18	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYFQJ11Q965763jfjyZ3B
4750865	4750865_23153_0_0.cram.crai	4750865_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fK8JYyZv9ky93jF7ZG9G	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fKQJYyZzgyZ03jF7BJZ1
4750882	4750882_23153_0_0.cram.crai	4750882_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZX0J3ZpjzFQF3jG6zYJ8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZg8J3Zpf5Yx53k17FB1Q
4750898	4750898_23153_0_0.cram.crai	4750898_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZj0JGGV84gBb3kQYGX9k	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZZ8JGGV7qjfP3kgKPQBj
4750909	4750909_23153_0_0.cram.crai	4750909_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1g8Jq9X6QX8B3kyz0q5K	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1jQJq9XJ1vFb3k48gQ4g
4750952	4750952_23153_0_0.cram.crai	4750952_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyyB8JQF8jzFQF3jG6zbQ0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyyF0JQF8x9g6y3jJvfXjp
4750963	4750963_23153_0_0.cram.crai	4750963_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJ80J268jqy9P3j9QQBQ6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJ8jJ268QyB833kVX9gvv
4750991	4750991_23153_0_0.cram.crai	4750991_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0q8jJKz9k65763jfjzG09	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0q8jJKz9yYGJZ3jyQBGVG
4751005	4751005_23153_0_0.cram.crai	4751005_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1g0JxQ0QyB833kVX9bQx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1g8JxQ0b7v96P5VP79B7
4751051	4751051_23153_0_0.cram.crai	4751051_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ28J4732Qf4v3jQjkVK1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ30J4736bJq23kb8zgZB
4751107	4751107_23153_0_0.cram.crai	4751107_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3GQJjQXxJ1YV3jzqYkG3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3FjJjQXfbJq23kb8zbQP
4751135	4751135_23153_0_0.cram.crai	4751135_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4jb8JbB257v96P5VP8Bxj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4jf0JbB283pf33jvJx6gy
4751156	4751156_23153_0_0.cram.crai	4751156_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf582QJX740jKFZ3jf5VYgY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5838JX743fQVX3jFk1KVz
4751161	4751161_23153_0_0.cram.crai	4751161_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf15G0JXpkQ05Q332gPZY91	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf15G0JXpky32Fv3jjxk54x
4751212	4751212_23153_0_0.cram.crai	4751212_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPy8J5jZFJqj13pX3q8J3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPzQJ5jZBzx9v3k28Kyz9
4751257	4751257_23153_0_0.cram.crai	4751257_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ80JxqgQjKFZ3jf5QGqv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ8jJxqgpzx9v3k28Kz1y
4751268	4751268_23153_0_0.cram.crai	4751268_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYB0J4GY8qy9P3j9QQ56g	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYF0J4GY57v96P5VP7684
4751270	4751270_23153_0_0.cram.crai	4751270_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP08J5p67J5pq6gy770zZ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP18J5p6BXXQZ3kp0768X
4751285	4751285_23153_0_0.cram.crai	4751285_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyBB8JPZXKxx324vBY0y8F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyBY0JPZXJQqfk3jJYVf86
4751301	4751301_23153_0_0.cram.crai	4751301_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FygQYP0JKJZZGGGvP79X4b3y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FygQYPjJKJZkg96K438y68KP
4751334	4751334_23153_0_0.cram.crai	4751334_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyKGjJkXfx1vFb3k48gXfP	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyKgjJkXfz6V3k3kzV0y6y
4751378	4751378_23153_0_0.cram.crai	4751378_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgFQJ01F3fQVX3jFk07Bk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgFQJ01FG9ky93jF7Y76g
4751387	4751387_23153_0_0.cram.crai	4751387_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxVZ0JkFF64Zg33jJkfp9k	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxVfjJkFF83pf33jvJv6jZ
